R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Thiago Alves,Ansar Chalangov,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,,170,1,0,0,2,583,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,170,26,22,0
Nick Thompson,Keith Wisniewski,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,170,24,24,0
Diego Sanchez,Nick Diaz,0,2,0,10,475.8,0,0,0,0,3,1,0,4,Southpaw,185.42,193.04,185,0,2,0,3,292.5,1,0,0,0,2,0,0,2,Southpaw,177.8,182.88,170,22,23,0
Rashad Evans,Brad Imes,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,200.66,,265,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,205,28,26,0
Joe Stevenson,Luke Cummo,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,187.96,170,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,177.8,145,25,23,0
Kenny Florian,Kit Cope,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,,170,0,1,0,3,320.5,1,0,0,0,0,0,1,1,Southpaw,177.8,187.96,145,28,29,0
Joshua Burkman,Sammy Morgan,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,,170,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,24,25,0
Melvin Guillard,Marcus Davis,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,170,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,155,32,22,0
Keith Jardine,Kerry Schall,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,187.96,,265,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,185,34,30,0
Andrei Arlovski,Paul Buentello,0,2,0,2,227,0,0,0,0,1,1,0,2,Orthodox,187.96,195.58,245,0,5,0,13,289,2,0,0,0,4,2,0,6,Orthodox,190.5,195.58,240,31,26,0
