R_fighter,B_fighter,B_current_lose_streak,B_current_win_streak,B_draw,B_total_rounds_fought,B_total_time_fought(seconds),B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_total_rounds_fought,R_total_time_fought(seconds),R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age,Winner
Ovince Saint Preux,Patrick Cummins,0,3,0,9,581.75,0,0,0,2,1,0,0,3,Orthodox,187.96,193.04,205,0,1,0,13,468.8333333,0,1,0,0,3,1,0,5,Southpaw,190.5,203.2,205,34,32,0
Corey Anderson,Gian Villante,0,1,0,11,703.75,0,0,1,0,1,0,0,2,Orthodox,190.5,193.04,205,0,2,0,4,480.5,1,0,0,1,1,0,0,2,Orthodox,190.5,200.66,205,29,25,1
Takeya Mizugaki,Aljamain Sterling,0,2,0,6,865,0,0,0,1,1,0,0,2,Orthodox,170.18,180.34,135,1,0,0,27,783.1,0,0,3,3,1,0,0,7,Orthodox,170.18,172.72,135,25,31,1
George Sullivan,Tim Means,0,3,0,20,700.375,0,0,1,2,2,0,0,5,Orthodox,187.96,190.5,170,0,2,0,5,675.5,0,0,0,1,1,0,0,2,Orthodox,182.88,185.42,170,31,34,1
Diego Brandao,Jimy Hettes,1,0,0,13,701.2,0,0,0,1,0,2,0,3,Southpaw,175.26,180.34,145,2,0,0,13,533.8571429,1,0,0,2,0,2,0,4,Orthodox,170.18,172.72,145,27,27,0
Eddie Gordon,Chris Dempsey,1,0,0,1,127,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,185,1,0,0,3,279.5,1,0,0,0,1,0,0,1,Orthodox,182.88,193.04,185,27,31,1
Gabriel Gonzaga,Mirko Cro Cop,3,0,0,23,619.6,0,0,0,0,2,1,1,4,Southpaw,187.96,185.42,230,2,0,0,30,329.3157895,1,0,0,0,7,4,0,11,Orthodox,187.96,193.04,242,40,35,1
Jimi Manuwa,Jan Blachowicz,0,1,0,1,118,0,0,0,0,1,0,0,1,Orthodox,187.96,198.12,205,1,0,0,7,464.75,0,0,0,0,1,0,2,3,Orthodox,185.42,200.66,205,32,35,0
Pawel Pawlak,Sheldon Westcott,1,0,0,2,581,1,0,0,0,0,0,0,0,Southpaw,185.42,180.34,170,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,30,26,0
Joanne Calderwood,Maryna Moroz,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,125,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,167.64,165.1,125,23,29,1
Seth Baczynski,Leon Edwards,1,0,0,3,900,0,0,0,0,0,0,0,0,Southpaw,182.88,187.96,170,2,0,0,22,602.6,0,0,1,1,1,2,0,5,Orthodox,190.5,187.96,170,23,33,1
Bartosz Fabinski,Garreth McLellan,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,185.42,182.88,185,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,32,28,0
Sergio Moraes,Mickael Lebout,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,0,2,0,7,627.6666667,1,0,0,0,0,2,0,2,Orthodox,182.88,182.88,170,27,32,0
Damian Stasiak,Yaotzin Meza,2,0,0,9,596,0,0,0,0,0,1,0,1,Orthodox,175.26,187.96,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,165.1,177.8,135,34,25,1
Daniel Omielanczuk,Anthony Hamilton,1,0,0,4,242.6666667,0,0,0,0,1,0,0,1,Orthodox,195.58,193.04,260,1,0,0,6,849,0,0,0,0,1,0,0,1,Southpaw,182.88,187.96,247,34,32,1
Izabela Badurek,Alexandra Albu,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,157.48,160.02,115,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,165.1,,115,24,23,1
Marcin Bandel,Stevie Ray,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,177.8,177.8,155,1,0,0,1,61,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,25,25,1
Taylor Lapilus,Rocky Lee,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,172.72,145,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,167.64,185.42,135,28,23,0
Chad Mendes,Ricardo Lamas,0,2,0,17,666.7142857,1,0,0,2,2,2,0,6,Orthodox,172.72,180.34,145,1,0,0,21,593.6666667,2,0,0,3,4,0,0,7,Orthodox,167.64,167.64,145,32,29,0
Jorge Masvidal,Al Iaquinta,0,3,0,19,610.375,1,0,0,3,3,0,0,6,Orthodox,177.8,177.8,155,0,3,0,17,849.8333333,0,0,0,4,0,1,0,5,Orthodox,180.34,187.96,170,27,30,1
Michael Chiesa,Mitch Clarke,0,2,0,10,683.25,0,0,0,1,0,1,0,2,Orthodox,177.8,185.42,155,1,0,0,12,491.6666667,1,0,0,1,0,3,0,4,Southpaw,185.42,190.5,170,29,27,0
Julianna Pena,Milana Dudieva,0,1,0,3,900,0,0,1,0,0,0,0,1,Orthodox,160.02,154.94,135,0,1,0,1,299,1,0,0,0,1,0,0,1,,167.64,175.26,135,25,25,0
Clay Guida,Robert Peralta,1,0,0,17,616.5714286,0,0,1,1,2,0,0,4,Orthodox,172.72,180.34,145,1,0,0,55,766.6,0,0,3,3,1,4,0,11,Orthodox,170.18,177.8,155,29,33,0
Dustin Poirier,Diego Ferreira,1,0,0,6,450.3333333,0,0,0,0,1,1,0,2,Orthodox,175.26,187.96,155,1,0,0,24,559.9090909,0,0,0,3,2,3,0,8,Southpaw,175.26,182.88,155,30,26,0
Liz Carmouche,Lauren Murphy,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,125,2,0,0,9,656.5,1,0,0,0,1,0,0,1,Orthodox,167.64,167.64,125,31,31,0
Gray Maynard,Alexander Yakovlev,2,0,0,6,900,0,0,0,0,0,0,0,0,Southpaw,190.5,187.96,155,3,0,0,42,764.1333333,2,0,3,5,1,0,0,9,Orthodox,175.26,177.8,155,30,35,1
Shamil Abdurakhimov,Tim Johnson,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,190.5,195.58,265,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,235,30,33,1
Ron Stallings,Justin Jones,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,180.34,198.12,185,1,0,0,1,217,0,0,0,0,0,0,0,0,Southpaw,187.96,190.5,170,27,32,0
Demian Maia,Ryan LaFlare,0,4,0,12,900,0,0,0,4,0,0,0,4,Southpaw,185.42,187.96,170,0,1,0,48,683.1052632,1,0,0,6,1,6,0,13,Southpaw,185.42,182.88,170,31,37,0
Erick Silva,Josh Koscheck,4,0,0,51,586.4583333,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,0,1,0,14,294.6666667,0,0,0,0,2,3,0,5,Orthodox,182.88,187.96,170,37,30,0
Leonardo Santos,Anthony Rocco Martin,0,1,0,6,558,0,0,0,0,0,1,0,1,Orthodox,182.88,185.42,170,0,1,0,8,794.3333333,1,0,0,1,0,1,0,2,Orthodox,182.88,190.5,155,25,35,0
Amanda Nunes,Shayna Baszler,1,0,0,2,416,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,1,0,0,5,348.3333333,0,0,0,0,2,0,0,2,Orthodox,172.72,175.26,145,34,26,0
Gilbert Burns,Alex Oliveira,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,193.04,170,0,2,0,4,598.5,0,0,0,1,0,1,0,2,Orthodox,177.8,180.34,155,27,28,0
Godof0o Pepey,Andre Fili,0,1,0,8,690.6666667,0,0,0,1,1,0,0,2,Orthodox,180.34,187.96,145,0,2,0,10,423.6666667,1,0,1,0,1,1,0,3,Orthodox,170.18,185.42,145,24,27,0
Francisco Trinaldo,Akbarh Arreola,0,1,0,4,506,0,0,0,0,0,1,0,1,Southpaw,177.8,180.34,155,0,1,0,18,623.625,0,0,1,1,1,2,0,5,Southpaw,175.26,177.8,155,32,36,0
Kevin Souza,Katsunori Kikuno,0,1,0,6,514.6666667,0,0,0,1,0,1,0,2,Orthodox,172.72,167.64,145,0,2,0,5,746,0,0,1,0,1,0,0,2,Orthodox,182.88,187.96,145,33,30,0
Leonardo Mafra,Cain Carrizosa,1,0,0,1,72,0,0,0,0,0,0,0,0,Orthodox,172.72,187.96,155,2,0,0,5,536.5,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,28,25,0
Jorge de Oliveira,Christos Giagos,1,0,0,1,297,0,0,0,0,0,0,0,0,Orthodox,177.8,180.34,155,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,172.72,180.34,155,25,35,1
Bentley Syler,F0y Serrano,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,160.02,165.1,125,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,162.56,172.72,125,35,32,1
Anthony Pettis,Rafael Dos Anjos,0,3,0,43,690.9411765,0,0,0,7,3,2,0,12,Southpaw,172.72,177.8,170,0,5,0,11,455,2,0,1,0,2,2,0,5,Orthodox,177.8,182.88,170,30,28,1
Carla Esparza,Joanna Jedrzejczyk,0,2,0,6,900,0,0,1,1,0,0,0,2,Orthodox,167.64,165.1,125,0,1,0,3,686,1,0,0,0,0,1,0,1,,154.94,160.02,115,27,27,1
Johny Hendricks,Matt Brown,1,0,0,42,562.8333333,0,0,0,2,9,1,0,12,Orthodox,182.88,190.5,170,1,0,0,39,744.4285714,3,1,2,3,5,0,0,11,Southpaw,175.26,175.26,185,34,31,0
Roy Nelson,Alistair Overeem,0,1,0,10,385.1666667,0,0,0,1,2,0,0,3,Orthodox,193.04,203.2,265,1,0,0,26,500.2307692,1,0,0,0,7,0,0,7,Orthodox,182.88,182.88,263,34,38,1
Chris Cariaso,Henry Cejudo,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,162.56,162.56,135,1,0,0,31,808.2727273,1,0,2,4,1,0,0,7,Southpaw,160.02,160.02,125,28,33,1
Ross Pearson,Sam Stout,1,0,0,48,769.7222222,0,0,3,5,1,0,0,9,Orthodox,175.26,177.8,155,1,0,0,34,644.1428571,1,0,0,4,3,0,1,8,Orthodox,172.72,175.26,155,30,30,0
Elias Theodorou,Roger Narvaez,0,1,0,5,674,0,0,1,0,0,0,0,1,Southpaw,190.5,200.66,185,0,2,0,5,740.5,1,0,0,1,1,0,0,2,Orthodox,185.42,190.5,185,31,26,0
Daron Cruickshank,Beneil Dariush,0,2,0,7,445.75,0,0,0,1,0,2,0,3,Southpaw,177.8,182.88,155,1,0,0,24,656.8,0,0,1,2,3,0,0,6,Switch,172.72,182.88,155,25,29,1
Ja0 Rosholt,Josh Copeland,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,185.42,190.5,265,1,0,0,10,725.25,0,0,0,3,0,0,0,3,Orthodox,187.96,190.5,265,32,28,0
Sergio Pettis,Ryan Benoit,1,0,0,2,571,0,0,0,0,0,0,0,0,Orthodox,165.1,172.72,125,0,2,0,12,894.75,0,0,0,3,0,0,0,3,Orthodox,167.64,175.26,135,25,21,1
Jake Lindsey,Joe Duffy,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,2,0,0,5,634.5,0,0,0,0,0,0,0,0,Switch,180.34,180.34,155,27,28,1
Larissa Pacheco,Germaine de Randamie,1,0,0,4,568,0,0,1,0,0,0,0,1,Orthodox,175.26,180.34,135,1,0,0,1,273,0,0,0,0,0,0,0,0,Orthodox,170.18,175.26,135,30,20,1
Ronda Rousey,Cat Zingano,0,2,0,6,728,0,0,0,0,2,0,0,2,Southpaw,167.64,172.72,145,0,4,0,6,257.25,4,0,0,0,2,2,0,4,Orthodox,170.18,172.72,135,32,28,0
Raquel Pennington,Holly Holm,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,172.72,175.26,145,0,1,0,7,699.6666667,0,0,0,1,0,1,0,2,Orthodox,170.18,170.18,135,33,26,1
Jake Ellenberger,Josh Koscheck,3,0,0,49,587.6086957,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,3,0,0,29,571.5384615,0,0,1,2,4,0,1,8,Orthodox,175.26,180.34,170,37,29,0
Alan Jouban,Richard Walsh,1,0,0,6,900,0,0,0,1,0,0,0,1,,182.88,185.42,170,1,0,0,4,581.5,0,0,0,0,1,0,0,1,Southpaw,182.88,185.42,170,26,33,0
Tony Ferguson,Gleison Tibau,0,3,0,61,721.5833333,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,0,4,0,15,518.875,1,0,1,1,2,2,1,7,Orthodox,180.34,193.04,155,31,31,0
Mark Munoz,Roan Carneiro,2,0,0,12,642,0,0,0,1,1,0,0,2,Orthodox,180.34,187.96,170,2,0,0,26,525.4615385,0,0,1,3,4,0,0,8,Orthodox,182.88,182.88,185,36,37,1
Dhiego Lima,Tim Means,0,2,0,19,780.8571429,0,0,1,2,1,0,0,4,Orthodox,187.96,190.5,170,0,1,0,4,485.5,1,0,0,1,0,0,0,1,Orthodox,187.96,187.96,170,31,26,1
Derrick Lewis,Ruan Potts,2,0,0,3,348.5,0,0,0,0,0,0,0,0,Orthodox,187.96,190.5,247,1,0,0,3,171.3333333,0,0,0,0,2,0,0,2,Orthodox,190.5,200.66,260,37,30,0
James Krause,Valmir Lazaro,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,1,0,0,8,579.25,0,0,0,0,1,1,0,2,Orthodox,187.96,185.42,170,29,28,1
Masio Fullen,Alex Torres,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,26,28,0
Antonio Silva,Frank Mir,4,0,0,37,351.5652174,5,0,0,2,3,8,0,14,Southpaw,190.5,200.66,264,3,0,0,12,468,1,0,0,0,2,0,0,2,Orthodox,193.04,203.2,264,35,35,1
Edson Barboza,Michael Johnson,0,3,0,27,664.8181818,1,0,0,4,3,0,0,7,Southpaw,177.8,185.42,145,0,2,0,24,554,0,1,1,2,5,0,0,9,Orthodox,180.34,190.5,155,28,29,1
Cezar Ferreira,Sam Alvey,0,1,0,4,518,0,0,0,0,1,0,0,1,Southpaw,187.96,190.5,205,0,1,0,11,557.2,1,0,1,2,0,1,0,4,Southpaw,185.42,198.12,185,28,30,1
Rustam Khabilov,Adriano Martins,0,1,0,4,296.6666667,0,0,0,0,1,1,0,2,Southpaw,177.8,182.88,155,1,0,0,9,540.75,0,0,0,1,1,0,1,3,Orthodox,172.72,185.42,155,32,28,1
Iuri Alcantara,Frankie Saenz,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,167.64,167.64,135,0,3,0,21,634.1111111,0,0,1,3,2,0,0,6,Southpaw,175.26,180.34,135,34,34,1
Santiago Ponzinibbio,Sean Strickland,0,2,0,4,586.5,0,0,1,0,0,1,0,2,Orthodox,185.42,193.04,170,0,1,0,4,490,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,170,23,28,0
Jessica Andrade,Marion Reneau,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,0,3,0,9,652.5,0,0,1,1,0,1,0,3,Orthodox,154.94,157.48,115,37,23,1
William Patolino,Matt Dwyer,1,0,0,1,63,0,0,0,0,0,0,0,0,Orthodox,193.04,193.04,170,1,0,0,8,747.6666667,1,0,0,1,0,0,0,1,Orthodox,180.34,190.5,170,25,23,1
Tiago Trator,Mike de la Torre,2,0,0,4,499.5,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,145,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,145,28,27,1
Douglas Silva de Andrade,Cody Gibson,1,0,0,6,511.3333333,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,135,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,135,27,29,0
Ivan Jorge,Josh Shockley,1,0,0,1,297,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,155,1,0,0,6,900,0,0,0,1,0,0,0,1,Orthodox,175.26,185.42,155,25,34,0
Benson Henderson,Brandon Thatch,0,2,0,2,106.5,0,0,0,0,2,0,0,2,Switch,187.96,187.96,170,2,0,0,43,1042.333333,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,29,31,0
Max Holloway,Cole Miller,0,2,0,34,562.8125,0,0,0,2,1,7,0,10,Orthodox,185.42,187.96,145,0,4,0,24,667.6,0,0,1,1,4,1,0,7,Orthodox,180.34,175.26,155,30,23,0
Neil Magny,Kiichi Kunimoto,0,3,0,5,416.3333333,0,0,1,0,0,1,0,3,Orthodox,177.8,180.34,170,0,5,0,21,738.125,0,0,0,4,2,0,0,6,Orthodox,190.5,203.2,170,33,27,0
Daniel Kelly,Patrick Walsh,0,1,0,3,900,0,0,0,1,0,0,0,1,,180.34,180.34,185,0,1,0,1,267,0,0,0,0,0,1,0,1,Southpaw,182.88,177.8,185,26,37,0
Michel Prazeres,Kevin Lee,0,2,0,9,900,0,0,1,1,0,0,0,2,Orthodox,175.26,195.58,170,0,2,0,9,900,0,0,1,1,0,0,0,2,Orthodox,167.64,170.18,170,22,33,1
Ray Borg,Chris Kelades,0,1,0,3,900,0,0,0,1,0,0,0,1,Orthodox,170.18,172.72,125,0,1,0,4,518.5,0,0,0,0,0,1,0,1,Orthodox,162.56,160.02,135,33,21,0
Efrain Escudero,Rodrigo de Lima,1,0,0,2,452,0,0,0,0,0,0,0,0,Orthodox,170.18,190.5,155,4,0,0,22,772.5,1,0,0,2,1,0,0,3,Orthodox,175.26,177.8,155,23,29,0
Chas Skelly,Jim Alers,0,1,0,3,900,0,0,1,0,0,0,0,1,Orthodox,175.26,180.34,145,0,2,0,7,651.6666667,0,0,0,1,0,1,0,2,Orthodox,180.34,182.88,145,28,29,0
Zach Makovsky,Tim Elliott,2,0,0,13,769.6,0,0,0,2,0,0,0,2,Southpaw,170.18,167.64,135,1,0,0,9,900,0,0,0,2,0,0,0,2,Southpaw,162.56,162.56,125,28,31,0
James Moontasri,Cody Pfister,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,185.42,155,1,0,0,3,900,0,0,0,0,0,0,0,0,Switch,177.8,180.34,170,24,26,0
Tyron Woodley,Kelvin Gastelum,0,5,0,11,626.4,1,0,2,1,0,2,0,5,Southpaw,175.26,180.34,185,0,1,0,11,432.5,0,0,0,0,4,0,0,4,Orthodox,175.26,187.96,170,23,32,0
Joe Lauzon,Al Iaquinta,0,2,0,17,624.1428571,1,0,0,3,2,0,0,5,Orthodox,177.8,177.8,155,0,2,0,33,450.8235294,0,0,0,1,2,7,1,11,Orthodox,177.8,180.34,155,27,30,1
Thales Leites,Tim Boetsch,0,1,0,36,639.0666667,0,0,2,3,4,0,0,9,Orthodox,182.88,187.96,185,0,4,0,29,650,1,0,1,3,2,3,0,9,Orthodox,185.42,198.12,185,34,33,0
Jordan Mein,Thiago Alves,0,1,0,43,646.8333333,1,0,0,4,6,1,1,12,Orthodox,175.26,177.8,170,0,2,0,7,403.5,0,0,1,0,2,0,0,3,Orthodox,182.88,185.42,170,31,25,1
Miesha Tate,Sara McMann,0,1,0,5,404,1,0,1,0,1,0,0,2,Orthodox,167.64,167.64,135,0,2,0,12,808.25,1,0,0,2,0,0,0,2,Orthodox,167.64,165.1,135,34,28,0
Ed Herman,Derek Brunson,0,1,0,10,662.75,0,0,0,2,0,1,0,3,Southpaw,185.42,195.58,185,0,1,0,36,574.6875,1,0,1,2,2,4,0,9,Orthodox,185.42,195.58,205,31,34,1
Ian McCall,John Lineker,0,1,0,16,598,0,0,0,1,4,0,0,5,Orthodox,160.02,170.18,135,0,2,0,15,900,0,0,0,2,0,0,0,2,Orthodox,165.1,162.56,125,24,30,1
Rafael Natal,Tom Watson,0,1,0,14,836.4,0,0,0,1,1,0,0,2,Orthodox,185.42,185.42,185,0,1,0,30,800.4545455,0,0,1,4,0,1,0,6,Orthodox,182.88,193.04,185,32,32,0
Richardson Moreira,Ildemar Alcantara,1,0,0,14,811.8,0,0,1,1,0,1,0,3,Orthodox,187.96,198.12,185,1,0,0,1,20,0,0,0,0,0,0,0,0,Orthodox,187.96,182.88,185,32,30,1
Thiago Santos,Andy Enz,2,0,0,6,900,0,0,0,0,0,0,0,0,Orthodox,190.5,198.12,185,1,0,0,5,333.3333333,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,205,23,31,0
Alexander Gustafsson,Anthony Johnson,0,2,0,23,400.0769231,0,0,0,2,7,0,0,9,Orthodox,187.96,198.12,205,0,1,0,21,538.9,1,0,0,2,4,2,0,8,Orthodox,195.58,200.66,205,30,28,1
Dan Henderson,Gegard Mousasi,1,0,0,12,876.75,0,0,0,1,0,1,0,2,Orthodox,187.96,193.04,185,1,0,0,37,853.3076923,3,0,2,3,2,0,0,7,Orthodox,180.34,187.96,185,29,44,1
Phil Davis,Ryan Bader,0,3,0,35,609.2,1,0,0,7,3,1,0,11,Orthodox,187.96,187.96,205,0,1,0,32,768.9166667,0,0,0,6,0,3,0,9,Orthodox,187.96,200.66,205,31,30,1
Akira Corassani,Sam Sicilia,1,0,0,15,534.7142857,0,0,0,1,2,0,0,3,Orthodox,172.72,170.18,145,2,0,0,10,471.6,0,0,1,1,0,0,0,3,Orthodox,172.72,172.72,145,28,32,1
Nico Musoke,Albert Tumenov,0,2,0,5,399.6666667,0,0,0,0,2,0,0,2,Orthodox,180.34,185.42,170,0,1,0,10,721.75,0,0,0,2,0,1,0,3,Orthodox,182.88,190.5,170,23,28,1
Kenny Robertson,Sultan Aliev,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,187.96,170,0,2,0,13,551.8333333,0,0,0,1,0,2,0,3,Orthodox,177.8,187.96,170,30,30,0
Andy Ogle,Makwan Amirkhani,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,145,3,0,0,15,872,0,0,0,1,0,0,0,1,Orthodox,172.72,175.26,145,26,25,1
Nikita Krylov,Stanislav Nedkov,2,0,0,6,513.3333333,0,0,0,0,1,0,0,1,Orthodox,180.34,180.34,205,0,1,0,6,276.25,0,0,0,0,2,0,0,2,Orthodox,190.5,195.58,205,33,22,0
Mairbek Taisumov,Anthony Christodoulou,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,175.26,182.88,155,0,1,0,7,620.3333333,0,0,0,1,1,0,0,2,Orthodox,175.26,185.42,155,27,26,0
Mirsad Bektic,Paul 0mond,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,145,0,1,0,3,900,0,1,0,0,0,0,0,1,Orthodox,172.72,177.8,145,28,23,0
Viktor Pesta,Konstantin Erokhin,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,230,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,190.5,195.58,240,31,24,0
Neil Seery,Chris Beal,0,2,0,5,655.5,0,0,0,1,1,0,0,2,Orthodox,170.18,175.26,125,0,1,0,6,900,0,0,0,1,0,0,0,1,Orthodox,162.56,162.56,125,29,35,0
Conor McGregor,Dennis Siver,0,1,0,42,624.7222222,0,0,0,6,3,2,0,11,Orthodox,167.64,177.8,145,0,4,0,6,329.5,0,0,0,1,3,0,0,4,Southpaw,175.26,187.96,155,36,26,0
Donald Cerrone,Benson Henderson,1,0,0,40,1055.272727,5,0,3,5,0,1,0,9,Southpaw,175.26,177.8,170,0,6,0,33,556.0625,0,0,0,5,4,4,0,13,Orthodox,185.42,185.42,155,31,31,0
Uriah Hall,Ron Stallings,0,0,0,0,,0,0,0,0,0,0,0,0,Southpaw,187.96,190.5,170,0,2,0,10,750,1,0,0,1,0,0,1,2,Orthodox,182.88,200.66,185,31,30,0
Norman Parke,Gleison Tibau,0,2,0,58,713.826087,0,0,4,6,1,4,0,15,Southpaw,177.8,180.34,155,0,1,0,14,824.2,1,0,0,3,1,0,0,4,,180.34,177.8,155,31,28,1
Cathal Pend0,Sean Spencer,0,1,0,15,866.6,0,0,1,2,0,0,0,3,,177.8,190.5,170,0,2,0,5,706.5,0,0,1,0,0,1,0,2,Orthodox,185.42,190.5,170,27,27,0
John Howard,Lorenz Larkin,3,0,0,13,765.4,0,0,0,1,0,0,0,1,Orthodox,180.34,182.88,170,2,0,0,31,814.2727273,0,0,3,1,2,0,0,6,Orthodox,170.18,180.34,170,28,31,1
Zhang Lipeng,Chris Wade,0,1,0,1,72,0,0,0,0,0,1,0,1,Orthodox,177.8,177.8,155,0,2,0,6,900,1,0,1,1,0,0,0,2,Southpaw,180.34,180.34,155,27,24,1
Paddy Holohan,Shane Howell,1,0,0,1,137,0,0,0,0,0,0,0,0,Orthodox,172.72,175.26,125,1,0,0,4,543,0,0,0,0,0,1,0,1,Orthodox,177.8,175.26,125,31,26,0
Johnny Case,Frankie Perez,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,180.34,185.42,155,0,1,0,2,454,0,0,0,0,0,1,0,1,Orthodox,177.8,182.88,155,25,25,0
Charles Rosa,Sean Soriano,2,0,0,5,625,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,145,1,0,0,3,900,0,0,0,0,0,0,0,0,Switch,175.26,175.26,145,25,28,0
Matt Van Buren,Sean O'Connell,2,0,0,4,583.5,0,0,0,0,0,0,0,0,Orthodox,185.42,187.96,205,1,0,0,1,61,1,0,0,0,0,0,0,0,,195.58,193.04,205,31,28,1
Tateki Matsuda,Joby Sanchez,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,167.64,172.72,135,1,0,0,3,900,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,23,28,1
Jon Jones,Daniel Cormier,0,4,0,10,678,0,0,0,2,1,1,0,4,Orthodox,180.34,182.88,235,0,11,0,42,760.8,8,0,0,5,4,5,0,14,Orthodox,193.04,213.36,205,35,27,0
Donald Cerrone,Myles Jury,0,6,0,13,566.1666667,0,0,1,2,2,1,0,6,Orthodox,177.8,185.42,145,0,5,0,30,533.1333333,0,0,0,4,4,4,0,12,Orthodox,185.42,185.42,155,26,31,0
Brad Tavares,Nate Marquardt,0,1,0,35,530.8235294,1,0,0,4,4,3,0,11,Orthodox,182.88,187.96,185,2,0,0,27,795.8,0,0,1,5,1,0,0,7,Orthodox,185.42,187.96,185,35,27,0
Kyoji Horiguchi,Louis Gaudinot,2,0,0,9,571.25,0,0,0,0,0,1,0,1,Orthodox,160.02,160.02,125,0,3,0,6,553,0,0,0,1,2,0,0,3,Orthodox,165.1,167.64,125,30,24,0
Danny Castillo,Paul Felder,0,1,0,3,900,0,0,1,0,0,0,0,1,Orthodox,180.34,177.8,155,1,0,0,29,743.5454545,0,0,1,4,2,0,0,7,Orthodox,175.26,180.34,155,30,35,1
Marcus Brimage,Cody Garbrandt,0,0,0,0,,0,0,0,0,0,0,0,0,Orthodox,172.72,165.1,135,0,1,0,14,640.8333333,0,0,1,2,1,0,0,4,Southpaw,162.56,180.34,135,23,29,1
Shawn Jordan,Ja0 Cannonier,0,0,0,0,,0,0,0,0,0,0,0,0,Switch,180.34,195.58,185,0,1,0,13,447.8571429,0,0,0,0,4,0,0,4,Southpaw,182.88,190.5,260,30,30,0
